year,day,hour,xco2
2018,159,19.87,406.77
2018,159,19.954,406.77
2018,159,20.333,406.77
2018,159,20.466,406.77
2018,159,20.627,406.77
2018,159,20.668,406.77
2018,159,20.751,406.77
2018,159,21.094,406.77
2018,159,21.163,406.77
2018,159,16.466,406.78
2018,159,16.516,406.78
2018,159,16.646,406.78
2018,159,16.858,406.78
2018,159,16.868,406.78
2018,159,16.88,406.78
2018,159,17.019,406.78
2018,159,17.114,406.78
2018,159,17.328,406.78
2018,159,17.521,406.78
2018,159,17.873,406.78
2018,159,18.827,406.78
2018,159,18.866,406.78
2018,159,18.969,406.78
2018,159,19.192,406.78
2018,159,19.497,406.78
2018,159,19.822,406.78
2018,159,19.956,406.78
2018,159,19.971,406.78
2018,159,20.107,406.78
2018,159,20.385,406.78
2018,159,20.475,406.78
2018,159,20.673,406.78
2018,159,20.771,406.78
2018,159,20.826,406.78
2018,159,20.995,406.78
2018,159,21.124,406.78
2018,159,16.501,406.79
2018,159,16.552,406.79
2018,159,16.557,406.79
2018,159,16.616,406.79
2018,159,16.794,406.79
2018,159,16.95,406.79
2018,159,17.028,406.79
2018,159,17.415,406.79
2018,159,17.837,406.79
2018,159,18.029,406.79
2018,159,18.093,406.79
2018,159,19.083,406.79
2018,159,19.086,406.79
2018,159,19.773,406.79
2018,159,19.776,406.79
2018,159,19.924,406.79
2018,159,20.216,406.79
2018,159,20.339,406.79
2018,159,20.444,406.79
2018,159,20.551,406.79
2018,159,20.653,406.79
2018,159,20.777,406.79
2018,159,20.792,406.79
2018,159,20.963,406.79
2018,159,21.158,406.79
2018,159,21.16,406.79
2018,159,16.363,406.8
2018,159,16.739,406.8
2018,159,16.936,406.8
2018,159,16.955,406.8
2018,159,17.088,406.8
2018,159,17.16,406.8
2018,159,17.413,406.8
2018,159,17.48,406.8
2018,159,17.549,406.8
2018,159,17.91,406.8
2018,159,17.96,406.8
2018,159,18.163,406.8
2018,159,18.396,406.8
2018,159,18.669,406.8
2018,159,18.919,406.8
2018,159,19.035,406.8
2018,159,19.184,406.8
2018,159,19.833,406.8
2018,159,19.838,406.8
2018,159,20.404,406.8
2018,159,20.431,406.8
2018,159,20.714,406.8
2018,159,20.833,406.8
2018,159,16.532,406.81
2018,159,16.972,406.81
2018,159,17.048,406.81
2018,159,17.23,406.81
2018,159,17.232,406.81
2018,159,17.377,406.81
2018,159,17.938,406.81
2018,159,18.032,406.81
2018,159,18.75,406.81
2018,159,18.871,406.81
2018,159,18.903,406.81
2018,159,19.157,406.81
2018,159,19.641,406.81
2018,159,19.858,406.81
2018,159,19.9,406.81
2018,159,20.304,406.81
2018,159,20.965,406.81
2018,159,16.343,406.82
2018,159,16.394,406.82
2018,159,16.656,406.82
2018,159,16.691,406.82
2018,159,17.408,406.82
2018,159,17.539,406.82
2018,159,17.541,406.82
2018,159,17.605,406.82
2018,159,18.039,406.82
2018,159,18.494,406.82
2018,159,18.524,406.82
2018,159,18.762,406.82
2018,159,18.949,406.82
2018,159,19.071,406.82
2018,159,19.113,406.82
2018,159,19.21,406.82
2018,159,19.761,406.82
2018,159,19.781,406.82
2018,159,19.976,406.82
2018,159,20.142,406.82
2018,159,20.156,406.82
2018,159,20.334,406.82
2018,159,20.373,406.82
2018,159,20.414,406.82
2018,159,20.541,406.82
2018,159,20.658,406.82
2018,159,20.701,406.82
2018,159,20.864,406.82
2018,159,16.547,406.83
2018,159,16.597,406.83
2018,159,16.602,406.83
2018,159,16.803,406.83
2018,159,17.023,406.83
2018,159,17.19,406.83
2018,159,17.257,406.83
2018,159,17.57,406.83
2018,159,17.576,406.83
2018,159,17.721,406.83
2018,159,17.752,406.83
2018,159,17.753,406.83
2018,159,18.484,406.83
2018,159,18.959,406.83
2018,159,19.22,406.83
2018,159,19.27,406.83
